textID,text,selected_text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km²),Density (P/Km²),clean_text,predict_sentiment
cb774db0d1," I`d have responded, if I were going","I`d have responded, if I were going",neutral,morning,0-20,Afghanistan,38928346,652860.0,60,id have responded if i were going,Neutral
549e992a42, Sooo SAD I will miss you here in San Diego!!!,Sooo SAD,negative,noon,21-30,Albania,2877797,27400.0,105,sooo sad i will miss you here in san diego,Negative
088c60f138,my boss is bullying me...,bullying me,negative,night,31-45,Algeria,43851044,2381740.0,18,my boss is bullying me,Negative
9642c003ef, what interview! leave me alone,leave me alone,negative,morning,46-60,Andorra,77265,470.0,164,what interview leave me alone,Negative
358bd9e861," Sons of ****, why couldn`t they put them on the releases we already bought","Sons of ****,",negative,noon,60-70,Angola,32866272,1246700.0,26,sons of  why couldnt they put them on the releases we already bought,Neutral
28b57f3990,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,neutral,night,70-100,Antigua and Barbuda,97929,440.0,223,some shameless plugging for the best rangers forum on earth,Positive
6e0c6d75b1,2am feedings for the baby are fun when he is all smiles and coos,fun,positive,morning,0-20,Argentina,45195774,2736690.0,17,am feedings for the baby are fun when he is all smiles and coos,Positive
50e14c0bb8,Soooo high,Soooo high,neutral,noon,21-30,Armenia,2963243,28470.0,104,soooo high,Neutral
e050245fbd, Both of you,Both of you,neutral,night,31-45,Australia,25499884,7682300.0,3,both of you,Neutral
fc2cbefa9d, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),Wow... u just became cooler.,positive,morning,46-60,Austria,9006398,82400.0,109,journey wow u just became cooler  hehe is that possible,Positive
2339a9b08b," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff","as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",neutral,noon,60-70,Azerbaijan,10139177,82658.0,123,as much as i love to be hopeful i reckon the chances are minimal p im never gonna get my cake and stuff,Positive
16fab9f95b,I really really like the song Love Story by Taylor Swift,like,positive,night,70-100,Bahamas,393244,10010.0,39,i really really like the song love story by taylor swift,Positive
74a76f6e0a,My Sharpie is running DANGERously low on ink,DANGERously,negative,morning,0-20,Bahrain,1701575,760.0,2239,my sharpie is running dangerously low on ink,Negative
04dd1d2e34,i want to go to music tonight but i lost my voice.,lost,negative,noon,21-30,Bangladesh,164689383,130170.0,1265,i want to go to music tonight but i lost my voice,Negative
bbe3cbf620,test test from the LG enV2,test test from the LG enV2,neutral,night,31-45,Barbados,287375,430.0,668,test test from the lg env,Neutral
8a939bfb59,"Uh oh, I am sunburned","Uh oh, I am sunburned",negative,morning,46-60,Belarus,9449323,202910.0,47,uh oh i am sunburned,Neutral
